match,match_day,live_ticker
Barcelona vs Bayern Muenchen,09/14/21,https://www.goal.com/en/match/barcelona-vs-bayern-muenchen/11g738se6x5am6jsj6d5b8wlw
Dynamo kyiv Vs Benfica,09/14/21,https://www.goal.com/en/match/dynamo-kyiv-vs-benfica/11jyqbr87a2p6x1l3xlxw6y38
Young boys Vs Manchester United,09/14/21,https://www.goal.com/en/match/young-boys-vs-manchester-united/7nsgpxpieq9qt8cuywk6zotg4
Villarreal vs Atalanta,09/14/21,https://www.goal.com/en/match/villarreal-vs-atalanta/7nwjevy595iaen70ar849iolw
Sevilla vs Salzburg,09/14/21,https://www.goal.com/en/match/sevilla-vs-salzburg/7sf7btmhiio2bkzhtmj84ivx0
Lille vs Wolfsburg,09/14/21,https://www.goal.com/en/match/lille-vs-wolfsburg/7sjck8skx2crtvh8n6t7qgbv8
Chelsea vs Zenit,09/14/21,https://www.goal.com/en/match/chelsea-vs-zenit/eu5ax5r3cdw7bfd239qhe4hzo
Malmoe ff Vs Juventus,09/14/21,https://www.goal.com/en/match/malmoe-ff-vs-juventus/eu9gnvdo56ibhx2942p2wfvo4
Club brugge Vs Psg,09/15/21,https://www.goal.com/en/match/club-brugge-vs-psg/3zoyw3e4wqaev2pus740kij9w
Manchester city Vs Rb Leipzig,09/15/21,https://www.goal.com/en/match/manchester-city-vs-rb-leipzig/3zkt8rt9dqlqmq1gh3citer6c
Atletico madrid Vs Porto,09/15/21,https://www.goal.com/en/match/atletico-madrid-vs-porto/av69zwt4kloy1a3cdz0j9o5ck
Liverpool vs Milan,09/15/21,https://www.goal.com/en/match/liverpool-vs-milan/ava02stkxvd27sho7rpfvabys
Besiktas vs Borussia Dortmund,09/15/21,https://www.goal.com/en/match/besiktas-vs-borussia-dortmund/2vh3b9b4r6t3wv6vymzlosums
Sporting cp Vs Ajax,09/15/21,https://www.goal.com/en/match/sporting-cp-vs-ajax/2vcs9w89lmrhs1bf2w745apsk
Sheriff vs Shakhtar Donetsk,09/15/21,https://www.goal.com/en/match/sheriff-vs-shakhtar-donetsk/9txpse03md83ter5g0vn58d90
Internazionale vs Real Madrid,09/15/21,https://www.goal.com/en/match/internazionale-vs-real-madrid/9u1yrw2n1ieg7k1ue99g4qyok
Rb leipzig Vs Club Brugge,09/28/21,https://www.goal.com/en/match/rb-leipzig-vs-club-brugge/3zurqat2qcb114sbnqyrl3pqs
Psg vs Manchester City,09/28/21,https://www.goal.com/en/match/psg-vs-manchester-city/3zrwf6645bdtzygif2mvrtkwk
Milan vs Atletico Madrid,09/28/21,https://www.goal.com/en/match/milan-vs-atletico-madrid/avf1qcwelwvm3v9hevti86j2s
Porto vs Liverpool,09/28/21,https://www.goal.com/en/match/porto-vs-liverpool/avck2zy1d5yc4yfovf6ny96ac
Ajax vs Besiktas,09/28/21,https://www.goal.com/en/match/ajax-vs-besiktas/2vjo1vmt7hoad9kb7cdev0p3o
Borussia dortmund Vs Sporting Cp,09/28/21,https://www.goal.com/en/match/borussia-dortmund-vs-sporting-cp/2vmmuwg7f9egbtb7c80f5b9jo
Shakhtar donetsk Vs Internazionale,09/28/21,https://www.goal.com/en/match/shakhtar-donetsk-vs-internazionale/9u4jub7s5jvvsk24cq4ddlst0
Real madrid Vs Sheriff,09/28/21,https://www.goal.com/en/match/real-madrid-vs-sheriff/9u7amrxjgkulzx9l3zozzcro4
Bayern muenchen Vs Dynamo Kyiv,09/29/21,https://www.goal.com/en/match/bayern-muenchen-vs-dynamo-kyiv/11mpjlpbnznja29k2m3arf11w
Benfica vs Barcelona,09/29/21,https://www.goal.com/en/match/benfica-vs-barcelona/11pfvtcyrf4osm40dxcnjjsic
Atalanta vs Young Boys,09/29/21,https://www.goal.com/en/match/atalanta-vs-young-boys/7nz8dwfc7pak1sfr4ko2mpi50
