time,comment,event,event_player,event_team,comment_desc,home_team,home_team_abbr,away_team,away_team_abbr,full_time_score,match,date,link
," Thanks for joining our commentary this evening. Until next time, goodbye. ",,,,full time summary,Barcelona,BAR,Bayern Munchen,FCB,0 - 3,Barcelona vs Bayern Muenchen,09/14/21,https://www.goal.com/en/match/barcelona-vs-bayern-muenchen/11g738se6x5am6jsj6d5b8wlw
, Barcelona are next in action at home in LaLiga against Granada on Monday. Bayern take on Bochum in their next Bundesliga clash on Saturday at Allianz Arena. ,,,,full time summary,Barcelona,BAR,Bayern Munchen,FCB,0 - 3,Barcelona vs Bayern Muenchen,09/14/21,https://www.goal.com/en/match/barcelona-vs-bayern-muenchen/11g738se6x5am6jsj6d5b8wlw
," Bayern Munich have eased past Barcelona in their Champions League Group E opener, defeating the hosts 3-0 at Camp Nou. Thomas Muller opened the scoring as his strike from distance was deflected past Marc-Andre ter Stegen by Eric Garcia. Robert Lewandowski then notched two second-half goals, capitalising on rebounds after Jamal Musiala and Serge Gnabry struck the post. Barca were toothless themselves in the final third, failing to register a shot on target. The German outfit have set the tone for the rest of the competition. ",,,,full time summary,Barcelona,BAR,Bayern Munchen,FCB,0 - 3,Barcelona vs Bayern Muenchen,09/14/21,https://www.goal.com/en/match/barcelona-vs-bayern-muenchen/11g738se6x5am6jsj6d5b8wlw
90 + 2, FULL-TIME: BARCELONA 0-3 BAYERN MUNICH ,,,,timer,Barcelona,BAR,Bayern Munchen,FCB,0 - 3,Barcelona vs Bayern Muenchen,09/14/21,https://www.goal.com/en/match/barcelona-vs-bayern-muenchen/11g738se6x5am6jsj6d5b8wlw
90, There will be two minutes of added time. ,,,,timer,Barcelona,BAR,Bayern Munchen,FCB,0 - 3,Barcelona vs Bayern Muenchen,09/14/21,https://www.goal.com/en/match/barcelona-vs-bayern-muenchen/11g738se6x5am6jsj6d5b8wlw
89, CLOSE! Coman bursts down the left flank and clips a ball across the face of goal. It skims the post on its way through and evades every Bayern player in the box. ,,,,timer,Barcelona,BAR,Bayern Munchen,FCB,0 - 3,Barcelona vs Bayern Muenchen,09/14/21,https://www.goal.com/en/match/barcelona-vs-bayern-muenchen/11g738se6x5am6jsj6d5b8wlw
86," Gnabry goes for a strike from distance after being teed up by Kimmich, but he angles his effort over the bar. ",,,,timer,Barcelona,BAR,Bayern Munchen,FCB,0 - 3,Barcelona vs Bayern Muenchen,09/14/21,https://www.goal.com/en/match/barcelona-vs-bayern-muenchen/11g738se6x5am6jsj6d5b8wlw
85, GOALLLLLLLLLLLLLLLLLL!!!!! LEWANDOWSKI SCORES HIS SECOND WITH A CLOSE-RANGE BLAST!!!!! 3-0 BAYERN!!!! Lewandowski pounces on another rebound to fire home a third Bayern goal after Gnabry strikes the post. He holds his composure after Gnabry's blast from six yards rattles the woodwork. Lewandowski rounds a challenge from Pique before hammering an effort on his left foot past Ter Stegen into the back of the net. Clinical from the Pole. ,goal,"[' R. Lewandowski ', ' Goal ']",Bayern Munchen,timer,Barcelona,BAR,Bayern Munchen,FCB,0 - 3,Barcelona vs Bayern Muenchen,09/14/21,https://www.goal.com/en/match/barcelona-vs-bayern-muenchen/11g738se6x5am6jsj6d5b8wlw
84," Gnabry threads a pass into the feet of Sabitzer in the box. He goes for a strike from a tight angle, but he hammers his effort into the side-netting. ",,,,timer,Barcelona,BAR,Bayern Munchen,FCB,0 - 3,Barcelona vs Bayern Muenchen,09/14/21,https://www.goal.com/en/match/barcelona-vs-bayern-muenchen/11g738se6x5am6jsj6d5b8wlw
82, Gavi goes into the book for a foul on Goretzka. ,yellow_card,"[' Gavi ', ' Yellow Card ']",Barcelona,timer,Barcelona,BAR,Bayern Munchen,FCB,0 - 3,Barcelona vs Bayern Muenchen,09/14/21,https://www.goal.com/en/match/barcelona-vs-bayern-muenchen/11g738se6x5am6jsj6d5b8wlw
82, Coman replaces Sane in the final third for the visitors. ,substitution,"[' K. Coman ', ' L. Sane ']",Bayern Munchen,timer,Barcelona,BAR,Bayern Munchen,FCB,0 - 3,Barcelona vs Bayern Muenchen,09/14/21,https://www.goal.com/en/match/barcelona-vs-bayern-muenchen/11g738se6x5am6jsj6d5b8wlw
82, Stanisic is on for Bayern at the back to replace Sule for the closing stages. ,substitution,"[' J. Stanisic ', ' N. Sule ']",Bayern Munchen,timer,Barcelona,BAR,Bayern Munchen,FCB,0 - 3,Barcelona vs Bayern Muenchen,09/14/21,https://www.goal.com/en/match/barcelona-vs-bayern-muenchen/11g738se6x5am6jsj6d5b8wlw
82, Sabitzer comes on to shore up the Bayern midfield as he replaces Muller. ,substitution,"[' M. Sabitzer ', ' T. Muller ']",Bayern Munchen,timer,Barcelona,BAR,Bayern Munchen,FCB,0 - 3,Barcelona vs Bayern Muenchen,09/14/21,https://www.goal.com/en/match/barcelona-vs-bayern-muenchen/11g738se6x5am6jsj6d5b8wlw
80," Barca are showing intent out there, but there is a lack of quality on the field to attempt to put the visitors under pressure in the closing stages. ",,,,timer,Barcelona,BAR,Bayern Munchen,FCB,0 - 3,Barcelona vs Bayern Muenchen,09/14/21,https://www.goal.com/en/match/barcelona-vs-bayern-muenchen/11g738se6x5am6jsj6d5b8wlw
79," Balde makes another drive into Bayern territory and fires a low ball into the middle. Sule reads the danger from the cross and clears, although there was no Barca player in sight. ",,,,timer,Barcelona,BAR,Bayern Munchen,FCB,0 - 3,Barcelona vs Bayern Muenchen,09/14/21,https://www.goal.com/en/match/barcelona-vs-bayern-muenchen/11g738se6x5am6jsj6d5b8wlw
78, Upamecano brings down Depay with a strong challenge when jostling for possession and goes into the book. ,yellow_card,"[' D. Upamecano ', ' Yellow Card ']",Bayern Munchen,timer,Barcelona,BAR,Bayern Munchen,FCB,0 - 3,Barcelona vs Bayern Muenchen,09/14/21,https://www.goal.com/en/match/barcelona-vs-bayern-muenchen/11g738se6x5am6jsj6d5b8wlw
