link,match_x,stage,leg,full_time_score,comment
https://www.goal.com/en/match/ajax-vs-benfica/pyorp5wblvfj9brf2v64nuhg,Ajax vs Benfica,R16,2,0 - 1," The visitors have withdrawn Taarabt at the interval, and former Torino midfielder Meite is on in hs place. { For a foul on Gravenberch in the Ajax half, Ramos becomes the first name in the referee's notebook; receiving a yellow card. { Everton has been ineffective as an attacking force today, as his side prioritise a rearguard action, and he now makes way for Yaremchuk. { Grimaldo's inswinging corner tempted Onana into an attempted punch, and as the Ajax goalkeeper misses the ball, Nunez heads home the opener. { BENFICA LEAD! Against the run of play, the Eagles soar into the lead! After Onana charges out and misses a Grimaldo corner into his box, Nunez beats Timber to the ball and plants a forceful header into the back of the net! Ajax 0-1 Benfica, and the visitors are 3-2 up on aggregate. { Ten Hag finally makes a change, as Alvarez is replaced by a more attacking option in Brobbey. { In a like-for-like substitution, Berghuis makes way for Klaassen. { Injured goalscorer Nunez is substituted by Benfica, with Goncalves brought on in his place. { As Ajax's frustration grows, Timber is shown a yellow card for fouling the impressive Benfica captain, Otamendi, in an aerial challenge. { Having just picked up a knock, Gilberto is taken off; Lazaro comes on to help Benfica see out stoppage time. { Ramos has put in a willing shift, but is now replaced by Bernardo for the final few moments. { Gravenberch has also been booked in the aftermath of his challenge on Yaremchuk. { After Gravenberch thunders into Yaremchuk with a hefty challenge, Blind complains when the Benfica forward goes down - too heatedly for the referee's liking: that's a yellow card. { Ten Hag makes a last roll of the dice, as Timber comes off and Kudus comes on. "
https://www.goal.com/en/match/ajax-vs-besiktas/2vjo1vmt7hoad9kb7cdev0p3o,Ajax vs Besiktas,Group Stage,1,2 - 0," And it's 1-0 to Ajax! Berghuis, who just missed a great opportunity, puts his side ahead after some excellent work by Tadic. The Serbian weaves into the box and plays it to the Dutch midfielder, who this time makes no mistake. { It was Tadic who dribbled his way into the box, taking it past a couple of Besiktas defenders. He played it into Berghuis who slotted calmly into the far corner. { And there is the hosts' second goal! Haller doubles his side's advantage as he manages to get enough on a cross from the right. It comes off his thigh and nestles into the corner of the net to make it 2-0. { It was a cross from Berghuis that hit Haller on the thigh and diverted goalwards. { Yilmaz makes way for Tore. { Ucan is replaced by Ozyakup. { Antony is replaced by his countryman Neres. { Goalscorer Berghuis comes off for Klaassen. { Meras limps off the pitch for Vardar. { Bozdogan goes into the book for fouling Gravenberch. { Batshuayi is booked for pushing Martinez as he went out of play. "
https://www.goal.com/en/match/ajax-vs-borussia-dortmund/2vs0mmt1zkk8561wuxu39qs5w,Ajax vs Borussia Dortmund,Group Stage,1,4 - 0," AJAX GO IN FRONT! A delighted Tadic wheels away to celebrate in front of the Ajax masses, as his inswinging free-kick forces his opposing captain Reus to glance a header past Kobel and into the back of his own net. Ajax lead 1-0! { Haller used his nous to attract defenders and lay the ball off accurately for Blind to fire home the second goal. { AJAX DOUBLE THEIR LEAD! A delightful layoff from Haller on the edge of the box highlights the Ivorian striker's link-up abilities, as he tees up Blind to thump in an unstoppable left-footed strike from 20 yards out. Dortmund are in big trouble here; Ajax are 2-0 up already! { Alvarez receives the first yellow card of the match, for crudely bringing down Malen inside the Ajax half. { Conceding a free-kick in a dangerous spot, Witsel commits a clumsy foul on Tadic and receives a yellow card from the referee. { Rose has had a half-time rethink, and Schulz has been replaced by Can for Dortmund. { Rose has seen enough from Malen today, and Hazard is brought on in the Dutch striker's place. Not a happy return to his homeland for the former PSV man! { Stretching for an outswinging Tadic cross, Haller just managed to get a head on the ball, which diverted it to Antony's feet, for the winger to work his magic. { ANOTHER FOR AJAX! This time Antony gets it right! The elusive Brazilian collects a flicked header from Haller on the right side of the area, stands Can up and then proceeds to whip the ball around the static German defender and into the far corner of the Dortmund net - a delicious strike! Ajax have their three-goal lead: 3-0 to the Dutch champions! { A straight swap for Ajax now, as Berghuis is substituted and Klaassen comes on in the number 10 role. { HALLER HAS HIS GOAL! A sixth goal of the group stage arrives for Ajax's star striker, as he steers a close-range header past Kobel from an accurate cutback by Blind. The Ivory Coast international missed out on European football last term due to a problem with his registration, but is certainly making up for lost time now! Ajax 4-0 Dortmund: this is becoming a rout! { Once again Blind - scorer of the second - finds himself in an advanced area, and cuts back an inviting ball for Haller to nod home for the fourth. { After an entertaining contribution to the match, Antony is replaced by his compatriot Neres in the Ajax attack. { Meunier is the latest man to be withdrawn by Rose, and Wolf is on in his place for the final 10 minutes. { A miserable match for Hummels is brought to a premature close, with Pongracic now on to replace him. { Haller's work is done, as he is brought off and Daramy comes on. { With the game decided, Mazraoui is given a rest and Rensch is afforded an opportunity to impress. { Brandt has been virtually invisible in his midfield role, and is replaced by Knauff for the final few minutes. { For an apparent handball, Timber is shown a yellow card by the referee. "
https://www.goal.com/en/match/ajax-vs-sporting-cp/2wfv8qqb44frru5m3nyekd4wk,Ajax vs Sporting Cp,Group Stage,2,4 - 2," Braganca is also shown a yellow card for the challenge on Haller. { HALLER SCORES! He only takes a short run-up to the spot, and he pauses for a second before striking it. Virginia still dived the right way, but couldn't get near it as it nestled into the bottom corner. 1-0 Ajax! { Tabata had a quick glance up to spot Santos' run before lifting a lovely cross into him. { SANTOS EQUALISES! It's a lovely cross over the top from Tabata into the far post and Santos times his run perfectly to stay onside. He's in behind the defender and he stretches to volley it across goal, past a flat-footed Pasveer, and into the bottom corner. 1-1! { Tabata slides in on Gravenberch and gets nowhere near the ball. He's protesting his innocence, but he's still shown a yellow card. { ANTONY SCORES! What a horrible moment for Ignacio! His pass deflects off Berghuis and goes straight into Antony's feet. He keeps his cool to take it around two defenders and the goalkeeper before slotting the ball into the empty net. 2-1 Ajax! { Santos touches the ball in and Schuurs is very late as he slides in. He takes the forward's legs out from under him and is shown a yellow card. { There's a change at the break for Ajax. Blind isn't coming back out for the second half, with Tagliafico on for him. { Alvarez puts an arm across Esgaio to stop his run, and he's shown a yellow card. { NERES SCORES! Santos slips on the ball and Schuurs is there to set Ajax on the counter. He slides it through to Neres, who is in so much space on the left of the box. Virginia rushes off his line to close him down, but the forward slots his shot under him and into the back of the net. 3-1 Ajax! { Schuurs got lucky as Santos slipped on the ball, but then he did well to pick out Neres' run to set up the goal. { And the assist is Schuurs' last action, with Rensch on for him. { And Tomas is the other player making way, with Peto replacing him. { There's a double change for both sides now, starting with Ajax. That goal was Neres' last involvement as he's replaced by Klaassen. { For Sporting, Santos goes off, with Paulinho on in his place. { It was a good build-up from Ajax and Klaassen kept it moving along quickly as he picked out Berghuis. { BERGHUIS SCORES! Ajax are running away with this one now! Antony lays it off to Klaassen, who turns before spreading it out to Berghuis on the right of the box. His low shot takes a couple of deflections on the way through which catch out Virginia at the near post and Ajax are 4-1 up! { Fourth change for Ajax now as Alvarez is taken off and replaced by Taylor. { And Ugarte goes off, with Sarabia on in his place. { And there's a double change for Sporting as well. Esteves makes way for Nazinho. { Mazraoui isn't going to be able to carry on after picking up that injury earlier, so Timber is coming on to replace him. { Esgaio knew exactly where Tabata was in the middle of the box and put a great ball into the box for him to finish off. { TABATA SCORES! It's a great goal for Sporting! It's fizzed in by Esgaio on the right and Tabata is free in the middle of the box. He hits the shot on the half-volley first time, lifting it over Pasveer in the middle of the goal, and it clips the bottom of the crossbar on its way into the roof of the net. 4-2! { Final change for Sporting now, with Braganca going off for Essugo. "
https://www.goal.com/en/match/atalanta-vs-manchester-united/7oajl2aneuxmdhr81173mtyj8,Atalanta vs Manchester United,Group Stage,2,2 - 2," ILICIC SCORES! It's a good cross from Zapata on the left of the box behind United's defenders and Ilicic is alert. He gets a lot of power on the shot, firing it down the middle, and it slides under De Gea as he dives and into the back of the net. There's a quick check for offside, but the goal stands! 1-0 Atalanta! { Zapata gets fortunate as a deflection off McTominay takes it straight into his path. He takes it past Wan-Bissaka before squaring it into Ilicic. { Varane went straight off the pitch with the medical team, and Solskjaer is going to make an attacking change. United are changing to a back four with Greenwood coming on for the injured defender. { Fernandes timed his run perfectly and stayed the right side of Palomino to just flick the ball back into Ronaldo's path. { There's a change for Atalanta at the break. Djimsiti comes on and slots into the back three, with De Roon moving further forward. Pasalic is the player making way. { RONALDO EQUALISES! It's brilliant from United as they pass it in between Atalanta on the edge of the box. Ronaldo touches it onto Greenwood, who slides it into Fernandes, and his flick opens up the space for Ronaldo in the middle. He takes a touch before firing it past Musso, who couldn't get near it. 1-1! { McTominay initially does well to step in and win the ball off Maehle, but then catches the wing-back in the face as he holds him off. He's shown the first yellow card of the game. { It's a good ball over the top from Palomino that just takes Wan-Bissaka out of the game and gets Zapata in behind United. { ZAPATA SCORES! It's another lovely ball lifted over the top by Palomino to pick out Zapata's run inside from the left, and he's one-on-one with De Gea. Maguire rushes back but can't get there before the forward lifts his shot over De Gea and into the back of the net. The offside flag goes up, but after a VAR check, the goal stands! 2-1 Atalanta! { Rashford is the other player going off, with Cavani on in his place. { There's a double change for United here and Pogba, who hasn't had the best game today, is the first to go off, with Matic replacing him. { Second change for Atalanta now, and it's Ilicic, who scored the opening goal, who's taken off. Muriel comes on for him. { And Van de Beek is also getting a rare chance to come on as he replaces Fernandes. { Double change for United as they try to find a late equaliser. McTominay is the first to make way, with Sancho on in his place. { It's good work from Greenwood on the edge of the box to keep the attack alive for United and hold of the defenders before picking out Ronaldo. { RONALDO EQUALISES AGAIN! Ronaldo cuts inside from the left, but Zapata slides in to win it off him. Greenwood keeps it alive on the edge of the area by lifting it over two defenders with two good touches before he picks out Ronaldo. He takes the shot on the volley, firing a powerful, low shot past Musso. There's a VAR check for a possible handball against Greenwood, but the goal stands. It's 2-2! "
https://www.goal.com/en/match/atalanta-vs-villarreal/7oo5c19u4wyx9s08r8g4m7jtg,Atalanta vs Villarreal,Group Stage,2,2 - 3, Goal Arnaut Danjuma Adam Groeneveld { Assist Daniel Parejo Munoz { Goal Etienne Capoue { Assist Moises Gomez Bordonado { Substitution Merih Demiral Berat Djimsiti { Substitution Matteo Pessina Ruslan Malinovskyi { Goal Arnaut Danjuma Adam Groeneveld { Assist Gerard Moreno Balaguero { Substitution Marten Elco de Roon Luis Fernando Muriel Fruto { Yellow Card Daniel Parejo Munoz { Yellow Card Alberto Moreno Perez { Assist Joakim Maehle Pedersen { Goal Ruslan Malinovskyi { Assist Josip Ilicic { Goal Duvan Esteban Zapata Banguera { Substitution Gerard Moreno Balaguero Vicente Iborra de la Fuente { Substitution Alberto Moreno Perez Alfonso Pedraza Sag { Substitution Arnaut Danjuma Adam Groeneveld Boulaye Dia { Yellow Card Luis Fernando Muriel Fruto { Substitution Joakim Maehle Pedersen Davide Zappacosta { Substitution Daniel Parejo Munoz Manuel Trigueros Munoz { Substitution Moises Gomez Bordonado Ruben Pena Jimenez 
https://www.goal.com/en/match/atalanta-vs-young-boys/7nz8dwfc7pak1sfr4ko2mpi50,Atalanta vs Young Boys,Group Stage,1,1 - 0," Gosens is forced off with that potentially serious injury and Maehle comes on to replace him at left wing-back. { Sierro is robbed high up the field by Maehle, who looks to burst away on the counter, but Sierro trips him up to prevent the attack and is booked as a result. { Siebatcheu, who scored the dramatic, late winner against Manchester United, is denied the chance to repeat his heroics and is replaced up front by Kanga. { Wagner makes a second change at the same time, bringing Elia off for Rieder out wide. { Zapata showed skill, pace, strength and determination on the right to beat his man, get to the byline and keep the ball in play before delivering a dangerous ball that Pessina simply needed to make contact with in order to score. { GOAL!!! ATALANTA ARE AHEAD!!! Zapata battles superbly on the right to get to the byline and fires the ball into the six-yard box for Pessina, who gets in front of his man and diverts the ball high into the net! It's 1-0 to Atalanta! { Wagner responds immediately after conceding with a substitution, replacing booked midfielder Sierro with an extra forward in Mambimbi. { The goalscorer, Pessina, is also withdrawn, with Pasalic replacing him in a like-for-like alteration. { Gasperini makes a double change to keep things fresh in the last 15 minutes, replacing Malinovskyi with Muriel in the first change. { It's another pair of changes for Young Boys as Wagner replaces Hefti with Maceiras as his side chase the game. { The second alteration sees midfielder Aebischer go off, with Spielmann taking his place in the side. { Zappacosta slides in clumsily on Maceiras and is shown a deserved yellow card. That was a poor challenge. { Gasperini makes two late changes now as he looks to see the game out. Zappacosta goes off and is replaced by on-loan left-back Pezzella. { Gasperini's second change is in midfield, where Freuler goes off for fellow new signing Koopmeiners. "
https://www.goal.com/en/match/atletico-madrid-vs-liverpool/avhmom1lg8fqyph5f8yn4oftg,Atletico madrid Vs Liverpool,Group Stage,1,2 - 3," GOALLLLLLLLLLLLLLLLLLLL!!!!! SALAH FIRES LIVERPOOL AHEAD!!!!! 1-0!!!! The Reds take the lead with the aid of a deflection from Salah's left-footed strike. The Egyptian takes possession on the right flank and drops his shoulder to cut in on his left foot. He fires a low hard effort towards the net that is taken away from Oblak by the boot of Kondogbia and into the bottom-left corner. A lucky start for the visitors, but they'll take it. { Robertson feeds Salah on the right flank with a cross-field pass and the forward does the rest with a fine finish. { GOALLLLLLLLLLLLLLLL!!! KEITA SCORES A STUNNER!!!! 2-0 LIVERPOOL!!!!! The Reds are in dreamland as Keita hammers a volley past Oblak. Felipe heads a poor clearing header straight to the midfielder on the edge of the box. Keita takes the strike on first time on the volley and it rockets into the top-right corner with Oblak rooted to the spot. { GOALLLLLLLLLLLLLLLLLLLL!!!!! GRIEZMANN GETS ATLETICO BACK IN IT!!!! 2-1!!!!! The Frenchman converts from close range, steering Koke's low drive from the edge of the box into the bottom-left corner. Lemar leaves Keita in his wake down the left flank from a corner and fires a cross into the box. Koke gathers and shoots hard on his right foot. Griezmann reacts in the six-yard box and guides an effort into the back of the net. { Koke gathers a low cross from Lemar and shoots towards the bottom-left corner. Griezmann reacts to help the ball past Alisson. { Joao Felix produces a fine run, displaying strength and skill to break away from Keita. He then delivers a delightful pass to Griezman for the forward to collect and score. { GOALLLLLLLLLLLLLLLLLLLL!!!!! GRIEZMANN LEVELS WITH A CRISP STRIKE!!!! 2-2!!!!! The home side notch the equaliser as Griezmann collects an offload from Joao Felix before dispatching a low shot past Alisson. Joao Felix twists and turns his way past Keita with ease down the left flank before steering a throughball for the clever run of Griezmann. The Frenchman takes a neat first touch to break away from Van Dijk before finding the bottom-right corner. { Gimenez enters the action in place of Kondogbia in the heart of the Atletico defence. { Keita is withdrawn after struggling defensively in the first half. Fabinho replaces the midfielder. { OFF! Griezmann's eventful evening goes from the sublime to the ridiculous as he is shown a straight red card for a high boot on Firmino. He tries to gain possession for the ball in the air and lifts his foot. However, he catches Firmino straight on the side of his head and the referee does not hesitate in giving the forward his marching orders. { Milner rises with Trippier and catches the full-back with a stray arm across the chest. Atletico appeal for a red card, but the referee brandishes a yellow. Even the yellow appears to be a harsh decision. { Mane is withdrawn for the visitors and is replaced by Jota in the final third. { Frustration boils over for Alexander-Arnold as he kicks the ball away after being adjudged to have handled the ball. A needless one from the full-back. { Oxlader-Chamberlain replaces Milner as Klopp aims to avoid a potential dismissal for the veteran midfielder. { GOALLLLLLLLLLLLLLLLLLLLLL!!!!! SALAH CONVERTS!!!! 3-2 LIVERPOOL!!!!! The Reds regain the lead as Salah holds his nerve from 12 yards. He takes a long run up and strikes his left-footed strike low and hard into the bottom-left corner, sending Oblak the wrong way. { Correa replaces Joao Felix in the final third for the home side. { De Paul is withdrawn for the home side and is replaced by Renan Lodi. { Suarez comes on against his former club to replace Lemar. { Llorente makes his way on to the pitch to replace Hermoso. { Alexander-Arnold makes way for the visitors and is replaced at right-back by Gomez. { Salah makes way after another productive performance. Williams replaces him for the closing stages. { Suarez goes into the book for dissent after not being awarded a free-kick. He continues to talk at the official and needs to be careful. "
https://www.goal.com/en/match/atletico-madrid-vs-manchester-city/4cddiyrp8qqkqowym4b868owk,Atletico madrid Vs Manchester City,QF,2,0 - 0," Felipe finally gets a booking as he clatters into De Bruyne from behind. The referee points out that it was his second challenge. { Sterling replaces De Bruyne, who had been stifled by the Atletico press in the second half. { Koke makes way for the home side and is replaced by De Paul. { Griezmann is withdrawn by Simeone and is replaced by Carrasco in the final third. { Correa is on for the home side in the final third to support Joao Felix. Lodi makes way after a decent outing. { Ake enters the action for City to replace Walker. Cancelo will swap to the right flank and Ake will operate at left-back. { Silva has been quiet tonight and is now withdrawn as Fernandinho arrives to shore up the City midfield. { Llorente brings down Fernandinho and goes into the book. He will miss the first leg of the semi-final if Atletico advance. { Simeone makes the surprising choice to withdraw Joao Felix. Cunha replaces the Portuguese. A bold move considering Joao Felix's recent form. { Lemar is withdrawn as Suarez enters the fold in the final third. Simeone is going for it with eight minutes left. { Rodri took out Cunha in the build-up to the Suarez chance and is retrospectively booked by the referee. { Ake squared up to Savic and is booked by the referee. { Savic goes into the book for his part in the melee. The defender may have been lucky to remain on the field. { Mahrez is booked for time-wasting at a free-kick. { Foden fouls De Paul on the charge and goes into the book. Seemingly every player is getting carded at the moment. { Cancelo brings down Carrasco on the edge of the City box on the left flank, handing the home side a free-kick in a dangerous position. "
https://www.goal.com/en/match/atletico-madrid-vs-manchester-united/pf15v919indsocrbpnrjuoes,Atletico madrid Vs Manchester United,R16,1,1 - 1," LODI SCORES! United have struggled to get going in this game, and Atletico have punished them for it. Lindelof clears the initial corner, but Lodi wins it back and whips a great cross in. Joao Felix gets in front of Maguire and stretches to get his head on it. It bounces off the inside of the post and across the line. 1-0 Atletico! { United were slow to close Lodi down and he used the time and space he was gifted to pick out Joao Felix's run. { Herrera clips Pogba's heels before tugging the Frenchman's shirt when he gets away from him. He's shown the first yellow card of the game. { Shaw takes a heavy first touch and ends up stepping on Vrsaljko's foot in his attempts to win it back. It's a poor challenge, and he's shown a yellow card. { Lindelof grabs Joao Felix's arm to tug him back and stop the run and he's shown a yellow card. { Reinildo sticks an arm across Pogba's chest to stop his bursting run down the right. He gives away a free-kick and has his name taken by the referee. { It's a clumsy one from Rashford as he clips the back of Llorente's heels, and he's shown a yellow card. { Matic also comes on to replace Pogba in midfield as they look to try and get some control in midfield. { There's a triple change coming for United here. Lindelof, who has struggled up against Lodi, is the first to make way, with Wan-Bissaka on for him. { And Shaw, who is on a yellow card, is taken off and replaced by Telles. { Fred just steps across Lodi in an attempt to stop him from reaching the byline. Atletico end up winning a corner, but the referee takes it back by booking him. { United are making another change now, and it's Rashford that's going off for Elanga. { There's a double change for Atletico as well. Lodi went down a few minutes ago with an issue, so he makes way for Lemar. { And the goal scorer, Joao Felix, also goes off, with Griezmann replacing him. { The yellow card is out again, this time for Llorente who stepped on Telles after missing the ball. { Correa barges into Fred to give away a free-kick just outside the box, and Atletico aren't happy about it. They swarm around the referee and Gimenez gets booked for something he says. { ELANGA EQUALISES! It's a quick break that catches Atletico out, with Fred picking out Fernandes, who threads it through to Elanga. Reinildo slides in but misses it and the teenager is left one-on-one with Oblak. He coolly slots his low shot across goal and into the back of the net. 1-1! { Fernandes has acres of space to run into through the middle and he plays a perfectly-weighted pass through to Elanga to set up the goal. { United are making their final change following the equaliser. Sancho goes off, with Lingard on for him. { Telles is the latest player to go into the referee's book after he clatters into Llorente with a late challenge. "
