time,comment,event,event_player,event_team,comment_desc,home_team,home_team_abbr,away_team,away_team_abbr,full_time_score,match_x,date,link,match_y,match_day,live_ticker,stage,leg,time_detail
1," WHAT A START! Just 32 seconds on the clock, and Vlahovic has scored on his Champions League debut! It's a simple long ball over the top from Danilo after Villarreal give the ball away. Vlahovic brings it down on the touch and takes the shot on the half-turn, firing across goal and into the far corner. 1-0 Juve! ",goal,"[' D. Vlahovic ', ' Goal ']",Juventus,timer,Villarreal,VIL,Juventus,JUV,1 - 1,Villarreal vs Juventus,02/22/22,https://www.goal.com/en/match/villarreal-vs-juventus/pi7x3glafql3u5uhnjqn105w,Villarreal vs Juventus,02/22/22,https://www.goal.com/en/match/villarreal-vs-juventus/pi7x3glafql3u5uhnjqn105w,R16,1,Normal Time
1," Danilo is alert as he cuts out the throughball from Capoue after Moreno leaves it, and he gets his head straight up to pick out Vlahovic's run. ",assist,"[' Danilo ', ' Assist ']",Juventus,timer,Villarreal,VIL,Juventus,JUV,1 - 1,Villarreal vs Juventus,02/22/22,https://www.goal.com/en/match/villarreal-vs-juventus/pi7x3glafql3u5uhnjqn105w,Villarreal vs Juventus,02/22/22,https://www.goal.com/en/match/villarreal-vs-juventus/pi7x3glafql3u5uhnjqn105w,R16,1,Normal Time
1, It'll be an early free-kick to Sevilla after Ocampos is brought down by Lacroix. The French defender is booked for the challenge. ,yellow_card,"[' M. Lacroix ', ' Yellow Card ']",Wolfsburg,timer,Wolfsburg,WOB,Sevilla,SEV,1 - 1,Wolfsburg vs Sevilla,09/29/21,https://www.goal.com/en/match/wolfsburg-vs-sevilla/7spassdkpavrrpr874y0i62vo,Wolfsburg vs Sevilla,09/29/21,https://www.goal.com/en/match/wolfsburg-vs-sevilla/7spassdkpavrrpr874y0i62vo,Group Stage,1,Normal Time
2, Mahrez raids in from the right flank to supply a perfect cross into the box for De Bruyne to score. ,assist,"[' R. Mahrez ', ' Assist ']",Manchester City,timer,Manchester City,MCI,Real Madrid,RMA,4 - 3,Manchester city Vs Real Madrid,04/26/22,https://www.goal.com/en/match/manchester-city-vs-real-madrid/4raxbuje9y01f4xrzpj6mhs0k,Manchester city Vs Real Madrid,04/26/22,https://www.goal.com/en/match/manchester-city-vs-real-madrid/4raxbuje9y01f4xrzpj6mhs0k,SF,1,Normal Time
2, GOALLLLLLLLLLLLLLLLLLLLLLLL!!!!! DE BRUYNE HANDS CITY THE PERFECT START!!!!!! 1-0!!!!! The Belgian makes a late run into the Madrid box and plants a diving header into the bottom-left corner. Mahrez collects on the right flank and skips past two challenges after cutting inside on his left foot. He delivers a perfect cross for De Bruyne's run towards the penalty spot before the midfielder provides the finish. What a start for the hosts. ,goal,"[' K. De Bruyne ', ' Goal ']",Manchester City,timer,Manchester City,MCI,Real Madrid,RMA,4 - 3,Manchester city Vs Real Madrid,04/26/22,https://www.goal.com/en/match/manchester-city-vs-real-madrid/4raxbuje9y01f4xrzpj6mhs0k,Manchester city Vs Real Madrid,04/26/22,https://www.goal.com/en/match/manchester-city-vs-real-madrid/4raxbuje9y01f4xrzpj6mhs0k,SF,1,Normal Time
2," GOAAAALLLLL!!! SPORTING 0-1 AJAX - What a start from Ajax as they open the scoring inside two minutes. Antony came desperately close to scoring as his shot took a deflection onto the post. Sporting keeper Adan was out of position as a result, but Haller was on hand to pounce, and the ball trickled back into his path, allowing him to stoop and head home. VAR checked for offside, but the goal is given. ",goal,"[' S. Haller ', ' Goal ']",Ajax,timer,Sporting CP,SCP,Ajax,AJX,1 - 5,Sporting cp Vs Ajax,09/15/21,https://www.goal.com/en/match/sporting-cp-vs-ajax/2vcs9w89lmrhs1bf2w745apsk,Sporting cp Vs Ajax,09/15/21,https://www.goal.com/en/match/sporting-cp-vs-ajax/2vcs9w89lmrhs1bf2w745apsk,Group Stage,1,Normal Time
2," GOOOOOAAAAALLLLL!!!! WHAT A START FOR CHELSEA!!!! From the corner, Christensen gets the flick on at the near post, and Werner's there at the back post to tap into an empty net and make it 1-0!! Poor defending from the hosts, but what a way to begin this game for the visitors! ",goal,"[' T. Werner ', ' Goal ']",Chelsea,timer,Zenit,ZEN,Chelsea,CHE,3 - 3,Zenit vs Chelsea,12/08/21,https://www.goal.com/en/match/zenit-vs-chelsea/ev2njmvm83ke98ogzpay1n5sk,Zenit vs Chelsea,12/08/21,https://www.goal.com/en/match/zenit-vs-chelsea/ev2njmvm83ke98ogzpay1n5sk,Group Stage,2,Normal Time
2," That header on from Christensen was sublime and made it so easy for Werner to tap the ball home, but crowding the Chelsea man at the near post didn't work out at all well for Zenit! ",assist,"[' A. Christensen ', ' Assist ']",Chelsea,timer,Zenit,ZEN,Chelsea,CHE,3 - 3,Zenit vs Chelsea,12/08/21,https://www.goal.com/en/match/zenit-vs-chelsea/ev2njmvm83ke98ogzpay1n5sk,Zenit vs Chelsea,12/08/21,https://www.goal.com/en/match/zenit-vs-chelsea/ev2njmvm83ke98ogzpay1n5sk,Group Stage,2,Normal Time
2," GOOOOOAAAAAAALLLLLLL!!!!! WHAT A START FOR PSG!!!! Mbappe and Mendes link up down the left, and Mignolet doesn't deal at all well with the latter's cross. Mbappe, of course, is following up the ball, and he places it into the far corner to make it 1-0 to PSG!!! 70 seconds in, and PSG lead already! ",goal,"[' K. Mbappe ', ' Goal ']",PSG,timer,PSG,PSG,Club Brugge,CLU,4 - 1,Psg vs Club Brugge,12/07/21,https://www.goal.com/en/match/psg-vs-club-brugge/40f8v01ackzf6tziovzrkz28k,Psg vs Club Brugge,12/07/21,https://www.goal.com/en/match/psg-vs-club-brugge/40f8v01ackzf6tziovzrkz28k,Group Stage,2,Normal Time
3," DIA!!! 1-0 VILLARREAL! What a start by the hosts! Capoue evades Robertson at the far post to cushion Estupinan's deep cross back into the danger zone, where Dia reacts quickest to steer into an empty net. ",goal,"[' B. Dia ', ' Goal ']",Villarreal,timer,Villarreal,VIL,Liverpool,LIV,2 - 3,Villarreal vs Liverpool,05/03/22,https://www.goal.com/en/match/villarreal-vs-liverpool/d59h06mlytxu3zzkheyc6m1as,Villarreal vs Liverpool,05/03/22,https://www.goal.com/en/match/villarreal-vs-liverpool/d59h06mlytxu3zzkheyc6m1as,SF,2,Normal Time
