time,comment,event,event_player,event_team,comment_desc
," We hope you have enjoyed our live coverage of yet another European win for Real Madrid. It's goodbye for now, and we'll see you next time! ",,,,full time summary
," While Madrid's Champions League defence continues apace, Chelsea have lost four successive matches since Frank Lampard returned to the club as interim boss. The Blues will now endure just their second trophyless season in the last seven campaigns, and with 17 points separating them from the Premier League's top four, it could be some time before Stamford Bridge hosts another Champions League fixture! ",,,,full time summary
," It's all over at Stamford Bridge, and it's another 2-0 win over Chelsea for Real Madrid – Los Blancos take the quarter-final tie 4-0 on aggregate! Chelsea performed admirably for long periods as Cucurella and Kante missed great chances to cut Madrid's lead, but they could not find a response when Rodrygo hammered Vinicius' cut-back in from close range after 58 minutes. A flowing move involving Valverde led to Rodrygo getting a second with 10 minutes remaining, and Madrid look like they have plenty more to offer as they approach a semi-final tie against Manchester City or Bayern Munich! ",,,,full time summary
90 + 3, FULL-TIME: CHELSEA 0-2 REAL MADRID ,,,,timer
90 + 3," Valverde sweeps a pass out to Ceballos, who cuts inside and shoots straight at Kepa from the edge of the area. That should be that for Madrid, and for Chelsea's Champions League campaign. ",,,,timer
90 + 2," Camavinga and Valverde team up to deny Sterling a route to the byline. Though Chelsea missed a couple of clear chances at 0-0, Madrid's backline has stood firm for the majority of this game. ",,,,timer
90," We're into three minutes of stoppage time as Felix shoots well over. Real Madrid's fans are in great voice, their defence of the Champions League trophy is set to continue! For Chelsea, a trophyless campaign is about to become reality. ",,,,timer
89, Mudryk picks up a late booking for a frustrated lunge on Modric in midfield. ,yellow_card,"[' M. Mudryk ', ' Yellow Card ']",Chelsea,timer
88," Now Mudryk bursts through on goal at the other end and smashes into the side-netting, only for the flag to go up. The Ukrainian mistimed his run, but his wayward finish was typical of Chelsea's efforts in the final third. ",,,,timer
87," Good save, but the flag is up! Vinicius latches onto Asensio's neat pass and forces a one-on-one save from Kepa, only to be flagged offside! ",,,,timer
86," Valverde and Vinicius are enjoying themselves now, capitalising on James' loose pass in midfield to launch a flowing move, which only ends when Silva steps in inside his own area. ",,,,timer
84," Valverde is involved again as he charges to the byline and crosses low, only for Kepa to dive on the ball. The atmosphere is very flat among the home fans now. ",,,,timer
82," Chelsea look to respond through Felix, who sees a shot blocked inside the six-yard box. The Blues have come up short in attack once again here. ",,,,timer
81," Experienced defender Nacho, meanwhile, is on for Carvajal at right-back. ",substitution,"[' Nacho ', ' Dani Carvajal ']",Real Madrid,timer
81," That will be Rodrygo's final involvement, with Ancelotti opting to withdraw the Brazilian and introduce Asensio. ",substitution,"[' Marco Asensio ', ' Rodrygo ']",Real Madrid,timer
80," Valverde has been outstanding at Stamford Bridge, and he is credited with the assist after teeing up Rodrygo when he could have gone for goal himself. He showed great composure to beat Silva in the build-up. What a goal! ",assist,"[' F. Valverde ', ' Assist ']",Real Madrid,timer
